1	2	3	4	5	6	7
0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857
0.3	0.1	0	0.3	0.3	0	0
0.3	0	0	0.3	0.3	0.1	0
0.3	0.025	0.025	0.3	0.3	0.025	0.025
0.7	0.05	0.05	0.05	0.05	 0.05	0.05
1.0	0	0	0	0	0	0
0	0.25	0.25	0	0	0.25	0.25
0.33333333333333	0.333333333333333	0	0.3333333333333333	0	0	0
0.33333333333333	0.333333333333333	0	0	0	0.333333333333333	0
0.16666666666666	0.166666666666666	0.166666666666666	0.08333333333333	0.08333333333333	0.166666666666666	0.16666666666
0	0.5	0	0	0.5	0	0
0	0.5	0	0.25	0.25	0	0
